Time,temperature
902890.5,248.70999
902914.5,252.37
902938.5,253.32999
902962.5,248.75
902986.5,247.68
903010.5,248.29
903034.5,251.78
903058.5,254.87999
903082.5,258.38
903106.5,259.36
903130.5,260.31
903154.5,263.81
903178.5,260.03
903202.5,250.37999
903226.5,252.43
903250.5,265.19
903274.5,256.68
903298.5,254.31999
903322.5,256.21
903346.5,254.43
903370.5,256.01
903394.5,260.77
903418.5,259.22
903442.5,255.04999
903466.5,257.25
903490.5,263.28
903514.5,259.96
903538.5,252.81999
903562.5,249.03
903586.5,255.48
903610.5,253.81
903634.5,251.37999
903658.5,254.40999
903682.5,252.67
903706.5,255.67
903730.5,255.79999
903754.5,260.16
903778.5,264.41998
903802.5,264.91
903826.5,264.13
903850.5,256.22
903874.5,250.76999
903898.5,257.4
903922.5,260.52
903946.5,261.11
903970.5,266.75
903994.5,264.75
904018.5,263.12
904042.5,264.66
904066.5,264.34
904090.5,263.11
904114.5,264.81
904138.5,264.76
904162.5,265.52
904186.5,265.31
904210.5,267.68
904234.5,260.12
904258.5,257.28
904282.5,266.11
904306.5,266.05
904330.5,262.06
904354.5,257.44998
904378.5,257.93
904402.5,259.34
904426.5,264.56
904450.5,265.96
904474.5,263.13
904498.5,262.69998
904522.5,263.72
904546.5,266.81
904570.5,271.13998
904594.5,269.50998
904618.5,267.1
904642.5,268.69
904666.5,269.50998
904690.5,269.38998
904714.5,268.66998
904738.5,269.65
904762.5,269.81
904786.5,270.88
904810.5,272.77
904834.5,274.6
904858.5,275.09
904882.5,275.44
904906.5,276.18
904930.5,271.04
904954.5,271.59
904978.5,275.87
905002.5,276.38998
905026.5,275.4
905050.5,276.4
905074.5,276.13
905098.5,278.97998
905122.5,276.1
905146.5,277.56
905170.5,278.38
905194.5,279.24
905218.5,272.19998
905242.5,273.65
905266.5,278.18
905290.5,277.09
905314.5,277.02
905338.5,276.21
905362.5,280.19
905386.5,281.93
905410.5,284.96
905434.5,283.8
905458.5,275.91
905482.5,278.41998
905506.5,276.13
905530.5,277.41
905554.5,279.00998
905578.5,280.57
905602.5,283.94
905626.5,282.78998
905650.5,283.05
905674.5,283.38
905698.5,281.57
905722.5,276.87
905746.5,277.34
905770.5,288.16998
905794.5,290.31
905818.5,284.25998
905842.5,284.6
905866.5,282.47998
905890.5,287.56
905914.5,276.88998
905938.5,277.06
905962.5,278.83
905986.5,281.91
906010.5,285.97
906034.5,287.21
906058.5,286.44
906082.5,287.07
906106.5,286.27
906130.5,284.83
906154.5,284.58
906178.5,283.83
906202.5,285.25998
906226.5,285.66
906250.5,287.44998
906274.5,289.49
906298.5,290.3
906322.5,288.47
906346.5,289.09
906370.5,285.58
906394.5,288.4
906418.5,292.33
906442.5,286.5
906466.5,286.88998
906490.5,286.12
906514.5,285.28
906538.5,286.09
906562.5,289.78
906586.5,292.52
906610.5,293.00998
906634.5,288.28998
906658.5,288.18
906682.5,290.94
906706.5,290.66
906730.5,292.07
906754.5,291.49
906778.5,288.19998
906802.5,288.97998
906826.5,287.97
906850.5,287.96
906874.5,291.24
906898.5,292.13
906922.5,288.94
906946.5,293.12
906970.5,292.43
906994.5,295.74
907018.5,296.75
907042.5,293.18
907066.5,289.13998
907090.5,289.68
907114.5,293.4
907138.5,291.02
907162.5,289.24
907186.5,288.91998
907210.5,290.86
907234.5,291.91
907258.5,293.41
907282.5,290.91998
907306.5,292.12
907330.5,289.75
907354.5,293.27
907378.5,291.9
907402.5,291.75
907426.5,291.38
907450.5,290.19998
907474.5,292.02
907498.5,294.72998
907522.5,294.71
907546.5,292.25
907570.5,291.47
907594.5,291.96
907618.5,291.85
907642.5,289.44998
907666.5,289.22
907690.5,292.16
907714.5,293.41998
907738.5,290.59
907762.5,291.06
907786.5,293.21
907810.5,292.99
